datum;fallzahl_id;positiv_getest;quarantaene;genese;akut_erkrankt;verstorbene
2020-09-24;825;1187;;1122;56;9
2020-03-31;173;289;787;42;246;1
2020-04-26;256;635;1079;443;186;6
2020-09-22;817;1168;;1113;46;9
2020-07-13;541;774;;751;14;9
2020-09-12;783;1106;;1036;61;9
2020-04-19;237;570;1074;349;217;4
2020-04-10;210;474;940;116;356;2
2020-04-29;265;644;1077;451;187;6
2020-10-10;883;1421;;1275;137;9
2020-09-08;767;1069;;1018;42;9
2020-08-29;730;1016;;960;47;9
2020-05-18;340;695;;668;21;6
2020-03-23;75;139;470;6;133;0
2020-05-03;275;666;1103;480;180;6
2020-05-02;273;666;1102;463;197;6
2020-06-19;457;755;;740;7;8
2020-07-31;616;824;;777;38;9
2020-07-06;519;769;;751;10;8
2020-06-28;487;758;;748;2;8
2020-09-06;758;1063;;1013;41;9
2020-03-21;71;120;481;2;118;0
2020-08-24;711;990;;928;53;9
2020-06-02;395;735;;692;35;8
2020-04-28;261;638;1067;445;187;6
2020-03-30;168;272;751;23;248;1
2020-03-11;16;14;275;0;14;0
2020-04-05;191;408;784;99;307;2
2020-03-25;85;195;565;6;188;1
2020-08-18;687;941;;888;44;9
2020-03-22;73;133;504;2;131;0
2020-09-07;759;1064;;1013;42;9
2020-08-26;718;1001;;939;53;9
2020-04-09;205;447;875;111;334;2
2020-09-30;847;1252;;1170;73;9
2020-05-28;379;728;;686;34;8
2020-04-23;248;596;1056;409;181;6
2020-04-13;218;518;1033;128;386;4
2020-04-04;189;390;761;92;296;2
2020-03-27;157;241;703;6;234;1
2020-08-07;644;864;;815;40;9
2020-07-26;595;801;;763;29;9
2020-04-22;245;583;1059;397;180;6
2020-09-25;829;1196;;1133;54;9
2020-07-30;613;819;;774;36;9
2020-04-07;201;421;821;105;314;2
2020-07-01;502;760;;748;4;8
2020-09-23;821;1180;;1115;56;9
2020-06-30;497;759;;748;3;8
2020-05-21;354;699;;673;19;7
2020-03-05;6;1;196;0;1;0
2020-08-06;638;861;;815;37;9
2020-06-23;470;757;;745;4;8
2020-06-13;436;750;;735;7;8
2020-10-09;878;1395;;1275;111;9
2020-08-27;722;1008;;946;53;9
2020-07-18;569;777;;756;12;9
2020-05-06;285;674;;495;173;6
2020-06-22;466;757;;745;4;8
2020-03-07;10;3;235;0;3;0
2020-08-23;704;989;;916;64;9
2020-05-26;370;719;;683;28;8
2020-07-24;591;793;;761;23;9
2020-03-28;160;257;770;13;243;1
2020-07-17;564;774;;756;9;9
2020-07-07;525;770;;751;11;8
2020-06-26;484;757;;747;2;8
2020-03-18;33;76;387;0;76;0
2020-09-03;749;1037;;991;37;9
2020-05-16;312;693;;666;21;6
2020-03-20;69;99;410;2;97;0
2020-10-11;884;1447;;1298;140;9
2020-08-08;648;879;;815;55;9
2020-07-28;605;810;;770;31;9
2020-06-21;463;756;;743;5;8
2020-05-31;388;732;;692;32;8
2020-04-21;242;579;1069;363;211;5
2020-07-03;509;762;;751;3;8
2020-10-05;863;1327;;1224;94;9
2020-05-20;349;698;;673;18;7
2020-08-05;635;848;;813;26;9
2020-05-10;296;687;;;;6
2020-07-21;578;779;;756;14;9
2020-05-30;387;731;;689;34;8
2020-05-27;375;720;;686;26;8
2020-05-19;342;696;;670;20;6
2020-03-09;13;5;229;0;5;0
2020-09-27;834;1226;;1141;76;9
2020-09-15;792;1119;;1054;56;9
2020-09-01;738;1029;;984;36;9
2020-08-31;732;1024;;973;42;9
2020-03-01;22;1;;0;1;0
2020-05-08;290;685;;;;6
2020-03-08;12;4;228;0;4;0
2020-06-25;481;757;;746;3;8
2020-09-19;809;1156;;1089;58;9
2020-07-09;532;772;;750;13;9
2020-04-27;259;635;1071;445;184;6
2020-06-10;426;749;;730;11;8
2020-03-04;26;1;143;0;1;0
2020-03-24;77;174;499;6;168;0
2020-10-12;885;1463;;1312;142;9
